127.0.0.1 - - [13/Jul/2023:14:13:47 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/styles/pocetna.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/styles/prikazPorudzbinaKupca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/styles/registracija.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/styles/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/styles/prikazJednogObjekta.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/styles/iznajmljivanjeVozila.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/pocetna.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/prijava.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/registracijaKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/kreiranjeObjekta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/izmenaKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/iznajmljivanjeVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/pregledKorpe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/prikazJednogObjekta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:14:13:47 +0200] "GET /WebShopREST/components/prikazSvihVozila.js HTTP/1.1" 304 -
